No,class,HV,Al,Co,Cr,Cu,Fe,Ni,Mn,Mo,Ti,V
356,1,864,0.43,0.18,0.2,0,0.12,0.07,0,0,0,0
357,1,841,0.47,0.17,0.16,0.05,0.1,0.05,0,0,0,0
358,1,868,0.43,0.24,0.23,0,0.05,0.05,0,0,0,0
359,1,865,0.43,0.25,0.22,0,0.05,0.05,0,0,0,0
360,1,840,0.46,0.21,0.18,0.05,0.05,0.05,0,0,0,0
361,1,882,0.43,0.22,0.22,0,0.08,0.05,0,0,0,0
362,1,883,0.43,0.22,0.23,0,0.07,0.05,0,0,0,0
363,1,828,0.43,0.2,0.21,0,0.09,0.07,0,0,0,0
364,1,848,0.43,0.22,0.25,0,0.05,0.05,0,0,0,0
365,1,878,0.47,0.19,0.19,0.05,0.05,0.05,0,0,0,0
366,1,782,0.43,0.29,0.18,0,0.05,0.05,0,0,0,0
367,2,392,0.091,0,0.227,0.227,0,0.227,0,0,0.227,0
368,2,452,0.13,0,0.217,0.217,0,0.217,0,0,0.217,0
369,2,350.2,0.2,0.2,0.2,0,0.2,0.2,0,0,0,0
370,2,435,0.167,0.167,0.167,0,0.167,0.167,0,0,0.167,0
